time,Htđ
1/21/2016 6:00,1.29
1/21/2016 7:00,1.40
1/21/2016 8:00,1.49
1/21/2016 9:00,1.57
1/21/2016 10:00,1.62
1/21/2016 11:00,1.67
1/21/2016 12:00,1.73
1/21/2016 13:00,1.78
1/21/2016 14:00,1.86
1/21/2016 15:00,1.96
1/21/2016 16:00,2.07
1/21/2016 17:00,2.19
1/21/2016 18:00,2.27
1/21/2016 19:00,2.31
1/21/2016 20:00,2.29
1/21/2016 21:00,2.19
1/21/2016 22:00,2.02
1/21/2016 23:00,1.80
1/22/2016 0:00,1.58
1/22/2016 1:00,1.36
1/22/2016 2:00,1.17
1/22/2016 3:00,1.05
1/22/2016 4:00,1.02
1/22/2016 5:00,1.05
1/22/2016 6:00,1.14
1/22/2016 7:00,1.26
1/22/2016 8:00,1.39
1/22/2016 9:00,1.51
1/22/2016 10:00,1.59
1/22/2016 11:00,1.65
1/22/2016 12:00,1.70
1/22/2016 13:00,1.75
1/22/2016 14:00,1.81
1/22/2016 15:00,1.88
1/22/2016 16:00,1.99
1/22/2016 17:00,2.12
1/22/2016 18:00,2.23
1/22/2016 19:00,2.31
1/22/2016 20:00,2.34
1/22/2016 21:00,2.30
1/22/2016 22:00,2.18
1/22/2016 23:00,1.98
1/23/2016 0:00,1.74
1/23/2016 1:00,1.50
1/23/2016 2:00,1.26
1/23/2016 3:00,1.08
1/23/2016 4:00,0.97
1/23/2016 5:00,0.96
1/23/2016 6:00,1.02
1/23/2016 7:00,1.13
1/23/2016 8:00,1.28
1/23/2016 9:00,1.42
1/23/2016 10:00,1.54
1/23/2016 11:00,1.61
1/23/2016 12:00,1.66
1/23/2016 13:00,1.71
1/23/2016 14:00,1.75
1/23/2016 15:00,1.81
1/23/2016 16:00,1.89
1/23/2016 17:00,2.00
1/23/2016 18:00,2.14
1/23/2016 19:00,2.25
1/23/2016 20:00,2.33
1/23/2016 21:00,2.35
1/23/2016 22:00,2.29
1/23/2016 23:00,2.13
1/24/2016 0:00,1.92
1/24/2016 1:00,1.66
1/24/2016 2:00,1.41
1/24/2016 3:00,1.18
1/24/2016 4:00,1.01
1/24/2016 5:00,0.94
1/24/2016 6:00,0.96
1/24/2016 7:00,1.05
1/24/2016 8:00,1.18
1/24/2016 9:00,1.33
1/24/2016 10:00,1.48
1/24/2016 11:00,1.58
1/24/2016 12:00,1.64
1/24/2016 13:00,1.67
1/24/2016 14:00,1.70
1/24/2016 15:00,1.74
1/24/2016 16:00,1.80
1/24/2016 17:00,1.88
1/24/2016 18:00,2.01
1/24/2016 19:00,2.14
1/24/2016 20:00,2.25
1/24/2016 21:00,2.32
1/24/2016 22:00,2.32
1/24/2016 23:00,2.24
1/25/2016 0:00,2.06
1/25/2016 1:00,1.83
1/25/2016 2:00,1.58
1/25/2016 3:00,1.33
1/25/2016 4:00,1.12
1/25/2016 5:00,0.99
1/25/2016 6:00,0.96
1/25/2016 7:00,1.02
1/25/2016 8:00,1.13
1/25/2016 9:00,1.27
1/25/2016 10:00,1.42
1/25/2016 11:00,1.55
1/25/2016 12:00,1.62
1/25/2016 13:00,1.66
1/25/2016 14:00,1.67
1/25/2016 15:00,1.70
1/25/2016 16:00,1.73
1/25/2016 17:00,1.78
1/25/2016 18:00,1.88
1/25/2016 19:00,2.01
1/25/2016 20:00,2.14
1/25/2016 21:00,2.24
1/25/2016 22:00,2.28
1/25/2016 23:00,2.26
1/26/2016 0:00,2.15
1/26/2016 1:00,1.96
1/26/2016 2:00,1.73
1/26/2016 3:00,1.48
1/26/2016 4:00,1.26
1/26/2016 5:00,1.10
1/26/2016 6:00,1.01
1/26/2016 7:00,1.02
1/26/2016 8:00,1.11
1/26/2016 9:00,1.23
1/26/2016 10:00,1.38
1/26/2016 11:00,1.52
1/26/2016 12:00,1.62
1/26/2016 13:00,1.66
1/26/2016 14:00,1.67
1/26/2016 15:00,1.68
1/26/2016 16:00,1.69
1/26/2016 17:00,1.71
1/26/2016 18:00,1.77
1/26/2016 19:00,1.88
1/26/2016 20:00,2.00
1/26/2016 21:00,2.12
1/26/2016 22:00,2.19
1/26/2016 23:00,2.22
1/27/2016 0:00,2.17
1/27/2016 1:00,2.04
1/27/2016 2:00,1.84
1/27/2016 3:00,1.62
1/27/2016 4:00,1.40
1/27/2016 5:00,1.22
1/27/2016 6:00,1.11
1/27/2016 7:00,1.07
1/27/2016 8:00,1.13
1/27/2016 9:00,1.23
1/27/2016 10:00,1.36
1/27/2016 11:00,1.50
1/27/2016 12:00,1.61
1/27/2016 13:00,1.67
1/27/2016 14:00,1.69
1/27/2016 15:00,1.68
1/27/2016 16:00,1.68
1/27/2016 17:00,1.68
1/27/2016 18:00,1.71
1/27/2016 19:00,1.77
1/27/2016 20:00,1.87
1/27/2016 21:00,1.99
1/27/2016 22:00,2.08
1/27/2016 23:00,2.13
1/28/2016 0:00,2.13
1/28/2016 1:00,2.06
1/28/2016 2:00,1.91
1/28/2016 3:00,1.72
1/28/2016 4:00,1.52
1/28/2016 5:00,1.35
1/28/2016 6:00,1.22
1/28/2016 7:00,1.16
1/28/2016 8:00,1.17
1/28/2016 9:00,1.25
1/28/2016 10:00,1.37
1/28/2016 11:00,1.49
1/28/2016 12:00,1.61
1/28/2016 13:00,1.69
1/28/2016 14:00,1.72
1/28/2016 15:00,1.71
1/28/2016 16:00,1.69
1/28/2016 17:00,1.68
1/28/2016 18:00,1.68
1/28/2016 19:00,1.70
1/28/2016 20:00,1.77
1/28/2016 21:00,1.86
1/28/2016 22:00,1.94
1/28/2016 23:00,2.01
1/29/2016 0:00,2.04
1/29/2016 1:00,2.01
1/29/2016 2:00,1.92
1/29/2016 3:00,1.77
1/29/2016 4:00,1.61
1/29/2016 5:00,1.45
1/29/2016 6:00,1.33
1/29/2016 7:00,1.25
1/29/2016 8:00,1.24
1/29/2016 9:00,1.29
1/29/2016 10:00,1.39
1/29/2016 11:00,1.51
1/29/2016 12:00,1.62
1/29/2016 13:00,1.71
1/29/2016 14:00,1.76
1/29/2016 15:00,1.76
1/29/2016 16:00,1.73
1/29/2016 17:00,1.70
1/29/2016 18:00,1.68
1/29/2016 19:00,1.67
1/29/2016 20:00,1.69
1/29/2016 21:00,1.75
1/29/2016 22:00,1.81
1/29/2016 23:00,1.88
1/30/2016 0:00,1.91
1/30/2016 1:00,1.92
1/30/2016 2:00,1.87
1/30/2016 3:00,1.78
1/30/2016 4:00,1.65
1/30/2016 5:00,1.52
1/30/2016 6:00,1.41
1/30/2016 7:00,1.34
1/30/2016 8:00,1.32
1/30/2016 9:00,1.35
1/30/2016 10:00,1.43
1/30/2016 11:00,1.53
1/30/2016 12:00,1.64
1/30/2016 13:00,1.73
1/30/2016 14:00,1.79
1/30/2016 15:00,1.81
1/30/2016 16:00,1.79
1/30/2016 17:00,1.75
1/30/2016 18:00,1.71
1/30/2016 19:00,1.67
1/30/2016 20:00,1.66
1/30/2016 21:00,1.67
1/30/2016 22:00,1.70
1/30/2016 23:00,1.74
1/31/2016 0:00,1.78
1/31/2016 1:00,1.79
1/31/2016 2:00,1.78
1/31/2016 3:00,1.73
1/31/2016 4:00,1.65
1/31/2016 5:00,1.56
1/31/2016 6:00,1.47
1/31/2016 7:00,1.41
1/31/2016 8:00,1.39
1/31/2016 9:00,1.41
1/31/2016 10:00,1.47
1/31/2016 11:00,1.56
1/31/2016 12:00,1.66
1/31/2016 13:00,1.75
1/31/2016 14:00,1.83
1/31/2016 15:00,1.87
1/31/2016 16:00,1.86
1/31/2016 17:00,1.82
1/31/2016 18:00,1.76
1/31/2016 19:00,1.71
1/31/2016 20:00,1.66
1/31/2016 21:00,1.63
1/31/2016 22:00,1.62
1/31/2016 23:00,1.62
